name,cas,logK_exp,smiles
n-hexane,110-54-3,3.09,CCCCCC
n-heptane,142-82-5,3.59,CCCCCCC
n-octane,111-65-9,4.01,CCCCCCCC
n-nonane,111-84-2,4.45,CCCCCCCCC
cyclohexane,110-82-7,2.01,C1CCCCC1
cycloheptane,291-64-5,2.52,C1CCCCCC1
cyclooctane,292-64-8,2.98,C1CCCCCCC1
1-nonene,124-11-8,4.22,C=CCCCCCCC
1-heptyne,628-71-7,2.49,C#CCCCCC
1-chlorooctane,111-85-3,3.85,CCCCCCCCCl
tetrachloromethane,56-23-5,1.77,ClC(Cl)(Cl)Cl
trichloroethene,79-01-6,1.88,ClC=C(Cl)Cl
tetrachloroethene,127-18-4,2.4,ClC(Cl)=C(Cl)Cl
tribromomethane,75-25-2,1.95,BrC(Br)Br
γ-hexachlorocyclohexane,58-89-9,2.46,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
isoflurane,26675-46-7,1.58,FC(F)OC(Cl)C(F)(F)F
enflurane,13838-16-9,1.59,FC(F)OC(F)(F)C(F)Cl
halothane,151-67-7,1.62,FC(F)(F)C(Cl)Br
methoxyflurane,76-38-0,1.77,COC(F)(F)C(Cl)Cl
di-n-butyl ether,142-96-1,2.01,CCCCOCCCC
di-n-pentyl ether,693-65-2,3.0,CCCCCOCCCCC
2-octanone,111-13-7,2.09,CCCCCCC(C)=O
2-nonanone,821-55-6,2.48,CCCCCCCC(C)=O
2-decanone,693-54-9,2.88,CCCCCCCCC(C)=O
1-nitrooctane,629-37-8,3.38,CCCCCCCC[N+](=O)[O-]
tri-n-butyl phosphate,126-73-8,2.47,CCCCOP(=O)(OCCCC)OCCCC
benzene,71-43-2,1.58,c1ccccc1
toluene,108-88-3,2.26,Cc1ccccc1
ethylbenzene,100-41-4,2.7,CCc1ccccc1
n-propylbenzene,103-65-1,2.95,CCCc1ccccc1
styrene,100-42-5,2.76,C=Cc1ccccc1
chlorobenzene,108-90-7,2.32,Clc1ccccc1
"1,2-dichlorobenzene",95-50-1,3.03,Clc1ccccc1Cl
"1,2,4-trimethylbenzene",95-63-6,3.35,Cc1ccc(C)c(C)c1
"1,4-dibromobenzene",106-37-6,3.97,Brc1ccc(Br)cc1
"1,2,4-trichlorobenzene",120-82-1,3.6,Clc1ccc(Cl)c(Cl)c1
"1,2,3,4-tetrachlorobenzene",634-66-2,4.21,Clc1ccc(Cl)c(Cl)c1Cl
hexafluorobenzene,392-56-3,1.55,Fc1c(F)c(F)c(F)c(F)c1F
methylpentafluorobenzene,771-56-2,2.32,Cc1c(F)c(F)c(F)c(F)c1F
indene,95-13-6,2.92,C1=Cc2ccccc2C1
naphthalene,91-20-3,3.56,c1ccc2ccccc2c1
dibenzofuran,132-64-9,3.79,c1ccc2c(c1)oc1ccccc12
dibenzothiophene,132-65-0,4.16,c1ccc2c(c1)sc1ccccc12
phenanthrene,85-01-8,4.15,c1ccc2c(c1)ccc1ccccc12
fluoranthene,206-44-0,4.28,c1ccc2c(c1)-c1cccc3cccc-2c13
pyrene,129-00-0,4.76,c1cc2ccc3cccc4ccc(c1)c2c34
chrysene,218-01-9,4.46,c1ccc2c(c1)ccc1c3ccccc3ccc21
benzo[b]fluoranthene,205-99-2,4.42,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
benzo[ghi]perylene,191-24-2,4.76,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
anisole,100-66-3,2.16,COc1ccccc1
valerophenone,1009-14-9,2.7,CCCCC(=O)c1ccccc1
