name,logK_exp,boltz_affinity,binder_prob,logKpw_pred
n-hexane,3.09,2.013692855834961,0.11712825298309326,2.163727203640635
n-heptane,3.59,1.9331938028335571,0.28476524353027344,2.244226256642039
n-octane,4.01,2.007181406021118,0.07295766472816467,2.170238653454478
n-nonane,4.45,1.9517836570739746,0.06892840564250946,2.2256364024016215
cyclohexane,2.01,2.1873772144317627,0.07905765622854233,1.9900428450438334
cycloheptane,2.52,2.3820133209228516,0.057514939457178116,1.7954067385527446
cyclooctane,2.98,2.4078738689422607,0.04575386643409729,1.7695461905333354
1-nonene,4.22,1.964061975479126,0.07259328663349152,2.21335808399647
1-heptyne,2.49,2.30576753616333,0.10392570495605469,1.871652523312266
1-chlorooctane,3.85,2.030970573425293,0.06673987209796906,2.146449486050303
tetrachloromethane,1.77,1.246460199356079,0.08248023688793182,2.930959860119517
trichloroethene,1.88,0.5037317276000977,0.1127208024263382,3.6736883318754985
tetrachloroethene,2.4,0.9424313306808472,0.11906681209802628,3.234988728794749
tribromomethane,1.95,0.1702546924352646,0.44781017303466797,4.007165367040332
γ-hexachlorocyclohexane,2.46,1.3622074127197266,0.4208643138408661,2.8152126467558696
isoflurane,1.58,1.812666416168213,0.048592060804367065,2.3647536433073832
enflurane,1.59,1.3740102052688599,0.06713460385799408,2.8034098542067363
halothane,1.62,1.5956125259399414,0.1522950530052185,2.5818075335356547
methoxyflurane,1.77,0.9505128860473633,0.08864624798297882,3.226907173428233
di-n-butyl ether,2.01,1.841679334640503,0.1296798586845398,2.335740724835093
di-n-pentyl ether,3.0,1.1660151481628418,0.19648295640945435,3.0114049113127543
2-octanone,2.09,1.4129233360290527,0.174830362200737,2.7644967234465434
2-nonanone,2.48,1.733354091644287,0.11093233525753021,2.444065967831309
2-decanone,2.88,2.2366373538970947,0.2332504689693451,1.9407827055785014
1-nitrooctane,3.38,0.8878958225250244,0.27039778232574463,3.2895242369505717
tri-n-butyl phosphate,2.47,1.0782521963119507,0.19692176580429077,3.0991678631636455
benzene,1.58,3.0916178226470947,0.05887184292078018,1.0858022368285014
toluene,2.26,2.8516898155212402,0.07820556312799454,1.325730243954356
ethylbenzene,2.7,2.5545055866241455,0.10934329777956009,1.6229144728514506
n-propylbenzene,2.95,2.8518099784851074,0.08942107111215591,1.3256100809904887
