name,logK_exp,boltz_affinity,binder_prob,logKpw_pred
n-hexane,3.09,2.2070019245147705,0.10137230902910233,1.9704181349608256
n-heptane,3.59,2.1574745178222656,0.06267424672842026,2.0199455416533305
n-octane,4.01,1.9954489469528198,0.0880029946565628,2.1819711125227763
n-nonane,4.45,1.8111658096313477,0.10931089520454407,2.3662542498442485
cyclohexane,2.01,1.4486324787139893,0.15063169598579407,2.728787580761607
cycloheptane,2.52,1.409211277961731,0.1824263036251068,2.768208781513865
cyclooctane,2.98,1.9581294059753418,0.052648257464170456,2.2192906535002543
1-nonene,4.22,1.7930173873901367,0.10860960185527802,2.3844026720854594
1-heptyne,2.49,2.2522857189178467,0.1401386857032776,1.9251343405577495
1-chlorooctane,3.85,1.7989435195922852,0.0627358928322792,2.378476539883311
tetrachloromethane,1.77,1.5600343942642212,0.08573673665523529,2.617385665211375
trichloroethene,1.88,1.2523765563964844,0.10151176154613495,2.9250435030791118
tetrachloroethene,2.4,1.6987073421478271,0.09728339314460754,2.478712717327769
tribromomethane,1.95,0.11865288019180298,0.4052867889404297,4.058767179283793
γ-hexachlorocyclohexane,2.46,1.5353617668151855,0.4942144751548767,2.6420582926604106
isoflurane,1.58,3.060110092163086,0.04914456605911255,1.1173099673125102
enflurane,1.59,1.9244341850280762,0.07487020641565323,2.25298587444752
halothane,1.62,2.357652187347412,0.14615246653556824,1.819767872128184
methoxyflurane,1.77,1.3884505033493042,0.08761586993932724,2.788969556126292
di-n-butyl ether,2.01,1.5371432304382324,0.14848221838474274,2.6402768290373637
di-n-pentyl ether,3.0,1.2595233917236328,0.15065371990203857,2.9178966677519633
2-octanone,2.09,2.177561044692993,0.1221008449792862,1.999859014782603
2-nonanone,2.48,1.9755127429962158,0.11175046861171722,2.2019073164793803
2-decanone,2.88,2.0801260471343994,0.1262616217136383,2.0972940123411967
1-nitrooctane,3.38,1.3259756565093994,0.24561503529548645,2.8514444029661967
tri-n-butyl phosphate,2.47,1.2909815311431885,0.22934220731258392,2.8864385283324077
benzene,1.58,2.4222419261932373,0.05330587550997734,1.7551781332823588
toluene,2.26,2.1576895713806152,0.05120422691106796,2.019730488094981
ethylbenzene,2.7,2.709773540496826,0.09530049562454224,1.46764651897877
n-propylbenzene,2.95,2.5837297439575195,0.08622609078884125,1.5936903155180766
styrene,2.76,2.0873327255249023,0.09086693078279495,2.090087333950694
chlorobenzene,2.32,1.9444305896759033,0.09597714245319366,2.232989469799693
"1,2-dichlorobenzene",3.03,2.8427560329437256,0.09789813309907913,1.3346640265318706
"1,2,4-trimethylbenzene",3.35,2.364629030227661,0.07868237793445587,1.812791029247935
"1,4-dibromobenzene",3.97,1.4765079021453857,0.23890560865402222,2.7009121573302104
"1,2,4-trichlorobenzene",3.6,2.15828275680542,0.31233274936676025,2.019137302670176
