name,logK_exp,vina_score,logKpw_pred
n-hexane,3.09,-4.604,1.4216033872611482
n-heptane,3.59,-4.965,1.6759800556648368
n-octane,4.01,-5.369,1.960656438033508
n-nonane,4.45,-5.639,2.150910455953165
cyclohexane,2.01,-4.785,1.5491440437183994
cycloheptane,2.52,-5.492,2.047327712863574
cyclooctane,2.98,-6.038,2.432063615767769
1-nonene,4.22,-5.692,2.1882566150262828
1-heptyne,2.49,-4.937,1.6562500093620585
1-chlorooctane,3.85,-5.458,2.0233697994959137
tetrachloromethane,1.77,-3.495,0.6401526247689289
trichloroethene,1.88,-3.746,0.817018396983128
tetrachloroethene,2.4,-4.007,1.0009306143054628
tribromomethane,1.95,-3.17,0.41114315875452745
γ-hexachlorocyclohexane,2.46,-5.717,2.205872727796621
isoflurane,1.58,-5.455,2.0212558659634734
enflurane,1.59,-5.467,2.0297116000932354
halothane,1.62,-4.772,1.5399836650778238
methoxyflurane,1.77,-4.642,1.448379878672063
di-n-butyl ether,2.01,-4.84,1.5878994918131442
di-n-pentyl ether,3.0,-4.869,1.6083341826267368
2-octanone,2.09,-5.417,1.9944793745525582
2-nonanone,2.48,-5.671,2.173459080299198
2-decanone,2.88,-5.973,2.386261722564888
1-nitrooctane,3.38,-5.545,2.084673871936692
tri-n-butyl phosphate,2.47,-5.79,2.2573117770860103
benzene,1.58,-4.883,1.6181992057781267
toluene,2.26,-5.576,2.1065178517719114
ethylbenzene,2.7,-6.239,2.5736971624412908
n-propylbenzene,2.95,-6.697,2.896424348393894
styrene,2.76,-6.256,2.5856761191251216
chlorobenzene,2.32,-5.383,1.9705214611848978
"1,2-dichlorobenzene",3.03,-5.367,1.9592471490118812
"1,2,4-trimethylbenzene",3.35,-6.627,2.847099232636945
"1,4-dibromobenzene",3.97,-5.407,1.9874329294444235
"1,2,4-trichlorobenzene",3.6,-5.609,2.1297711206287593
"1,2,3,4-tetrachlorobenzene",4.21,-5.788,2.2559024880643834
hexafluorobenzene,1.55,-6.721,2.9133358166534187
methylpentafluorobenzene,2.32,-6.878,3.0239650048511453
indene,2.92,-7.042,3.1395267046245663
naphthalene,3.56,-7.404,3.3946080175390683
dibenzofuran,3.79,-8.432,4.118982574655391
dibenzothiophene,4.16,-7.194,3.246632670268225
phenanthrene,4.15,-8.183,3.9435260914628185
fluoranthene,4.28,-8.882,4.436072604521485
pyrene,4.76,-8.883,4.436777249032298
chrysene,4.46,-9.492,4.865905756117747
benzo[b]fluoranthene,4.42,-9.51,4.87858935731239
benzo[ghi]perylene,4.76,-10.036,5.249232370000313
anisole,2.16,-5.298,1.9106266777657472
valerophenone,2.7,-7.383,3.3798104828119837
benzophenone,2.62,-7.712,3.6116385268696396
di-n-propyl phthalate,2.84,-6.344,2.647684836076713
2-nitrotoluene,2.12,-6.184,2.534941714346546
"2,4-dinitrotoluene",1.73,-6.873,3.0204417822970773
1-nitronaphthalene,3.17,-7.483,3.4502749338933376
4-nitroanisole,2.48,-5.929,2.355257364089093
"N,N-diethylaniline",2.27,-6.09,2.468705130330073
1-hexanol,1.64,-4.653,1.4561309682910115
1-heptanol,2.18,-4.829,1.5801484021941954
1-octanol,2.74,-5.212,1.8500272498357824
1-nonanol,3.1,-5.584,2.11215500785842
4-ethyl-3-hexanol,1.48,-5.168,1.8190228913599866
4-chlorobenzyl alcohol,2.1,-5.952,2.3714641878378044
4-n-propylphenol,2.59,-6.645,2.8597828338315896
2-phenylphenol,2.62,-8.117,3.8970195537491255
4-fluorophenol,1.57,-5.502,2.0543741579717096
3-chlorophenol,2.35,-5.578,2.107927140793539
4-chlorophenol,2.43,-5.393,1.9775679062930334
4-bromophenol,2.81,-5.394,1.978272550803847
4-iodophenol,3.41,-5.483,2.040985912266252
bisphenol A,2.88,-7.911,3.7518627845215344
4-nitroaniline,1.69,-5.842,2.293953291648314
2-chloroaniline,1.95,-5.506,2.057192736014964
4-iodoaniline,2.95,-5.522,2.0684670481879808
4-aminobiphenyl,2.55,-8.782,4.365608153440131
indole,2.25,-6.18,2.5321231363032917
carbazole,3.52,-8.168,3.932956423800615
metolachlor,1.74,-6.847,3.002121025015925
atrazine,1.77,-6.437,2.7132167755823726
diazepam,2.68,-7.478,3.446751711339271
estrone,2.69,-7.944,3.7751160533783814
endosulfan α,3.24,-6.788,2.960546998877926
