name,logK_exp,vina_score,logKpw_pred
n-hexane,3.09,-3.816,0.8663435127400761
n-heptane,3.59,-4.057,1.0361628398461402
n-octane,4.01,-4.302,1.2088007449954579
n-nonane,4.45,-4.37,1.256716571730779
cyclohexane,2.01,-4.2,1.1369270048924767
cycloheptane,2.52,-4.688,1.4807935261694856
cyclooctane,2.98,-5.133,1.7943603334815121
1-nonene,4.22,-4.437,1.303927753955287
1-heptyne,2.49,-4.207,1.1418595164681713
1-chlorooctane,3.85,-4.668,1.4667006359532149
tetrachloromethane,1.77,-3.292,0.49710978907377945
trichloroethene,1.88,-3.344,0.5337513036360839
tetrachloroethene,2.4,-3.724,0.8015162177452305
tribromomethane,1.95,-2.88,0.20679625061859977
γ-hexachlorocyclohexane,2.46,-5.593,2.1184968084557423
isoflurane,1.58,-4.99,1.6935961684351757
enflurane,1.59,-5.046,1.7330562610407347
halothane,1.62,-4.138,1.0932390452220369
methoxyflurane,1.77,-4.539,1.3758014940582677
di-n-butyl ether,2.01,-4.526,1.3666411154176914
di-n-pentyl ether,3.0,-5.161,1.814090379784291
2-octanone,2.09,-4.786,1.5498486882292128
2-nonanone,2.48,-5.033,1.723895882400158
2-decanone,2.88,-5.315,1.9226056344495774
1-nitrooctane,3.38,-5.166,1.8176136023383598
tri-n-butyl phosphate,2.47,-5.914,2.344687696426889
benzene,1.58,-4.237,1.162998851792578
toluene,2.26,-4.939,1.6576592983836853
ethylbenzene,2.7,-5.305,1.9155591893414419
n-propylbenzene,2.95,-5.522,2.0684670481879808
styrene,2.76,-5.342,1.9416310362415423
chlorobenzene,2.32,-4.785,1.5491440437183994
"1,2-dichlorobenzene",3.03,-4.775,1.5420975986102643
"1,2,4-trimethylbenzene",3.35,-5.651,2.159366190082927
"1,4-dibromobenzene",3.97,-4.928,1.6499082087647359
"1,2,4-trichlorobenzene",3.6,-5.274,1.8937152095062217
"1,2,3,4-tetrachlorobenzene",4.21,-5.476,2.0360534006905575
hexafluorobenzene,1.55,-5.865,2.310160115397026
methylpentafluorobenzene,2.32,-5.933,2.3580759421323467
indene,2.92,-5.759,2.235467797250791
naphthalene,3.56,-6.005,2.4088103469109217
dibenzofuran,3.79,-7.843,3.703946957786214
dibenzothiophene,4.16,-7.235,3.27552309521158
phenanthrene,4.15,-8.211,3.9632561377655984
fluoranthene,4.28,-9.2,4.660149558960191
pyrene,4.76,-8.92,4.462849095932399
chrysene,4.46,-9.377,4.784871637374189
benzo[b]fluoranthene,4.42,-9.278,4.715111830803648
benzo[ghi]perylene,4.76,-7.312,3.329780722544223
anisole,2.16,-4.978,1.6851404343054133
valerophenone,2.7,-6.235,2.570878584398037
benzophenone,2.62,-7.672,3.5834527464370978
di-n-propyl phthalate,2.84,-7.008,3.115568791256906
2-nitrotoluene,2.12,-5.922,2.3503248525133977
"2,4-dinitrotoluene",1.73,-6.839,2.996483868929417
1-nitronaphthalene,3.17,-7.488,3.4537981564474065
4-nitroanisole,2.48,-5.643,2.1537290339964192
"N,N-diethylaniline",2.27,-5.483,2.040985912266252
1-hexanol,1.64,-4.203,1.1390409384249176
1-heptanol,2.18,-4.311,1.21514254559278
1-octanol,2.74,-4.619,1.4321730549233513
1-nonanol,3.1,-4.8,1.5597137113806023
4-ethyl-3-hexanol,1.48,-4.929,1.6506128532755495
4-chlorobenzyl alcohol,2.1,-5.14,1.7992928450572068
4-n-propylphenol,2.59,-5.798,2.262948933172518
2-phenylphenol,2.62,-7.1,3.180396086251751
4-fluorophenol,1.57,-4.989,1.6928915239243623
3-chlorophenol,2.35,-5.007,1.7055751251190059
4-chlorophenol,2.43,-4.939,1.6576592983836853
4-bromophenol,2.81,-4.976,1.6837311452837858
4-iodophenol,3.41,-5.025,1.7182587263136502
bisphenol A,2.88,-7.799,3.672942599310418
4-nitroaniline,1.69,-5.578,2.107927140793539
2-chloroaniline,1.95,-4.846,1.5921273588780254
4-iodoaniline,2.95,-4.884,1.6189038502889406
4-aminobiphenyl,2.55,-7.185,3.2402908696709023
indole,2.25,-5.652,2.1600708345937414
carbazole,3.52,-7.235,3.27552309521158
metolachlor,1.74,-5.041,1.729533038486667
atrazine,1.77,-6.141,2.5046420003815633
diazepam,2.68,-7.537,3.48832573747727
estrone,2.69,-8.796,4.37547317659152
endosulfan α,3.24,-5.481,2.039576623244625
