source,endpoint,species,system,unit,value,log10_value,SMILES,canonical_SMILES,InChIKey,DTXSID,CAS,is_PFAS,note
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,GUGRIDDHBAACKA-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,C[C@@](CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,C[C@@](CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,HRELUEGGLLSMRX-GOSISDBHSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,BMKINZUHKYLSKI-DQEYMECFSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,13.49,1.1300119496719043,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,KQOXLKOJHVFTRN-UHFFFAOYSA-N,,,True,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,64.57,1.8100307864058394,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@@](CCO)(c2ccc(F)cc2)OC1=O,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@@](CCO)(c2ccc(F)cc2)OC1=O,SLSMHOGJKAPYQU-MRDQGFSESA-N,,,True,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,8.71,0.9400181550076633,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,CKLPLPZSUQEDRT-WPCRTTGESA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,VEDPQGGGGHKSLY-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,7.0,0.8450980400142568,CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,OPZDQVDVMCTOPA-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,7.0,0.8450980400142568,O=C(O)c1cncc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)c1,O=C(O)c1cncc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)c1,BFMYHRUQBZNPNN-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,8.0,0.9030899869919435,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,BFODPUUHEITNCL-KRWDZBQOSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,4.24,0.6273658565927327,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,MNOSYFBXUCZGCA-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,67.61,1.8300109359361179,N#Cc1ccc(-c2ccc(NC(=O)Nc3ccc(-c4ccnc5[nH]cnc45)cc3)cc2)cc1,N#Cc1ccc(-c2ccc(NC(=O)Nc3ccc(-c4ccnc5[nH]cnc45)cc3)cc2)cc1,FEDMEJWMCJAMHE-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,35.0,1.5440680443502757,CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,RVIAYIHTJMJVOV-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,O=C(O)COc1ccc(C(F)(F)F)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,O=C(O)COc1ccc(C(F)(F)F)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,MNRULTNYMVKEMA-UHFFFAOYSA-N,,,True,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,8.51,0.9299295600845878,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,WUTVMXLIGHTZJC-OAQYLSRUSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,8.51,0.9299295600845878,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,ADIMAYPTOBDMTL-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,9.0,0.9542425094393249,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)Cc2ccccc2)CC1,JBBOMVFXXYZQQP-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,9.33,0.9698816437465,O=C(O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C(F)(F)F)cc2)cc1,O=C(O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(C(F)(F)F)cc2)cc1,GJZIVJMLRFXUOQ-UHFFFAOYSA-N,,,True,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,84.0,1.9242792860618816,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1,CBEQULMOCCWAQT-WOJGMQOQSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,87.1,1.9400181550076632,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,CCN1CCN(c2ccc(Nc3cc(N(C)C(=O)Nc4c(Cl)c(OC)cc(OC)c4Cl)ncn3)cc2)CC1,QADPYRIHXKWUSV-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,87.1,1.9400181550076632,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,DCOPUUMXTXDBNB-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,102.33,2.0100029741270595,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,XOLNOXKBNUFEQH-XNTDXEJSSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,105.0,2.0211892990699383,CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3nc(O)sc23)cc1,CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3nc(O)sc23)cc1,MAAOWWNLDLETQH-UHFFFAOYSA-N,,,False,
AZ_clearance,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,123.03,2.090011024007147,Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12,Cc1ccccc1-c1c(C(=O)O)n(CCCOc2cccc3ccccc23)c2ccccc12,STISJUSFFZAZMP-UHFFFAOYSA-N,,,False,
