source,endpoint,species,system,unit,value,log10_value,SMILES,canonical_SMILES,InChIKey,DTXSID,CAS,is_PFAS,note
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,56.4,1.7512791039833422,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,AELDWFGFDSTYDV-DEOSSOPVSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,160.4,2.2052043639481447,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,NCCOQMRIPAPGNR-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,9.5,0.9777236052888477,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,UYUIMPIKINVAPS-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,18.9,1.276461804173244,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,XPTOQRSOKGUGAU-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,14.9,1.173186268412274,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,RUVRREXDWZZJNC-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,15.0,1.1760912590556813,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,DFJYVDROFXMAHN-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,243.3,2.3861421089308186,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,BFSSJJONCKJJEC-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,8.8,0.9444826721501687,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,YYTPJCOZHRSISX-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,7.4,0.8692317197309762,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,RRHNQLJYXKPHGC-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,14.2,1.1522883443830565,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,URCHQGCJRAKGNE-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,18.9,1.276461804173244,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,MPGDQWACTPETQI-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,9.9,0.9956351945975499,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,FVTIOFJBBVRGRG-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,15.6,1.1931245983544616,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,VHRBVJCMWVJVOG-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,9.3,0.9684829485539351,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,LDGWOCHWPYOCJQ-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,9.1,0.9590413923210935,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,KZVZYWCARIQGQY-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,54.4,1.73559889969818,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,PQOPCMMLFSBNTO-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,173.4,2.2390490931401916,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,WGMDQXMJHWLZTP-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,15.8,1.1986570869544226,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,MZQMKKZELGUUOU-UHFFFAOYSA-N,,,False,
ExpansionRX_HLM,in_vitro_CLint,human,microsome,µL/min/mg protein,123.2,2.090610707828407,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,LPLSVZPAWJOCEA-UHFFFAOYSA-N,,,False,
