source,endpoint,species,system,unit,value,log10_value,SMILES,canonical_SMILES,InChIKey,DTXSID,CAS,is_PFAS,note
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,GUGRIDDHBAACKA-UHFFFAOYSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,C[C@@](CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,C[C@@](CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,HRELUEGGLLSMRX-GOSISDBHSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,BMKINZUHKYLSKI-DQEYMECFSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,13.49,1.1300119496719043,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,KQOXLKOJHVFTRN-UHFFFAOYSA-N,,,True,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,64.57,1.8100307864058394,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@@](CCO)(c2ccc(F)cc2)OC1=O,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@@](CCO)(c2ccc(F)cc2)OC1=O,SLSMHOGJKAPYQU-MRDQGFSESA-N,,,True,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,8.71,0.9400181550076633,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,CKLPLPZSUQEDRT-WPCRTTGESA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,3.0,0.47712125471966244,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,VEDPQGGGGHKSLY-UHFFFAOYSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,7.0,0.8450980400142568,CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,OPZDQVDVMCTOPA-UHFFFAOYSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,7.0,0.8450980400142568,O=C(O)c1cncc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)c1,O=C(O)c1cncc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)c1,BFMYHRUQBZNPNN-UHFFFAOYSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,8.0,0.9030899869919435,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,BFODPUUHEITNCL-KRWDZBQOSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,4.24,0.6273658565927327,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,MNOSYFBXUCZGCA-UHFFFAOYSA-N,,,False,
TDC_Hepatocyte_AZ,in_vitro_CLint,human,hepatocyte,µL/min/10^6 cells,67.61,1.8300109359361179,N#Cc1ccc(-c2ccc(NC(=O)Nc3ccc(-c4ccnc5[nH]cnc45)cc3)cc2)cc1,N#Cc1ccc(-c2ccc(NC(=O)Nc3ccc(-c4ccnc5[nH]cnc45)cc3)cc2)cc1,FEDMEJWMCJAMHE-UHFFFAOYSA-N,,,False,
