chembl_id,SMILES,value,units,assay_id,assay_description
CHEMBL5441417,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,75.8,uL/min/1E6 cells,CHEMBL5442164,To determine the metabolic stability in rat hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441417,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,567.0,uL/min/1E6 cells,CHEMBL5442165,To determine the metabolic stability in mouse hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441417,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,27.9,uL/min/1E6 cells,CHEMBL5442166,To determine the metabolic stability in human hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441417,CC(C)[C@H](Nc1ncnc2[nH]ccc12)c1ccc2c(c1)S(=O)(=O)CCC2,3.0,uL/min/1E6 cells,CHEMBL5442167,To determine the metabolic stability in dog hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441415,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,87.5,uL/min/1E6 cells,CHEMBL5442164,To determine the metabolic stability in rat hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441415,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,91.6,uL/min/1E6 cells,CHEMBL5442165,To determine the metabolic stability in mouse hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441415,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,28.7,uL/min/1E6 cells,CHEMBL5442166,To determine the metabolic stability in human hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441415,CC(C)[C@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,3.01,uL/min/1E6 cells,CHEMBL5442167,To determine the metabolic stability in dog hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441414,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,182.0,uL/min/1E6 cells,CHEMBL5442164,To determine the metabolic stability in rat hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441414,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,217.0,uL/min/1E6 cells,CHEMBL5442165,To determine the metabolic stability in mouse hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441414,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,182.0,uL/min/1E6 cells,CHEMBL5442166,To determine the metabolic stability in human hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441414,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,3.91,uL/min/1E6 cells,CHEMBL5442167,To determine the metabolic stability in dog hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441401,CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,15.6,uL/min/1E6 cells,CHEMBL5442164,To determine the metabolic stability in rat hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441401,CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,74.7,uL/min/1E6 cells,CHEMBL5442165,To determine the metabolic stability in mouse hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441401,CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,14.2,uL/min/1E6 cells,CHEMBL5442166,To determine the metabolic stability in human hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441401,CNCc1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)co1,7.3,uL/min/1E6 cells,CHEMBL5442167,To determine the metabolic stability in dog hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441413,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,5.5,uL/min/1E6 cells,CHEMBL5442164,To determine the metabolic stability in rat hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441413,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,58.1,uL/min/1E6 cells,CHEMBL5442165,To determine the metabolic stability in mouse hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441413,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,3.0,uL/min/1E6 cells,CHEMBL5442166,To determine the metabolic stability in human hepatocytes the compounds are incubated in 1 uM concen
CHEMBL5441413,CNC(=O)Cn1cc(-c2cc3c(N[C@@H](c4ccc5c(c4)S(=O)(=O)CCC5)C(C)C)ncnc3[nH]2)cn1,3.0,uL/min/1E6 cells,CHEMBL5442167,To determine the metabolic stability in dog hepatocytes the compounds are incubated in 1 uM concentr
CHEMBL5441396,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,3.0,uL/min/1E6 cells,CHEMBL5442166,To determine the metabolic stability in human hepatocytes the compounds are incubated in 1 uM concen
